sample,run,reads,reads_filt,len_1_filt,len_2_filt,Q_1,Q_2,Q_1_filt,Q_2_filt,isoforms,genes
Schlumbergera truncata 15H01_pol,4,4841466,3353072,149,147,35.8,34.8,36.2,35.8,43294,27125
Schlumbergera truncata 15H01_sty,2,6769308,4628401,148,139,38.8,35.9,39.9,38.8,73047,42717
Schlumbergera truncata 15H02_pol,4,4888079,3353774,149,147,35.8,35,36.2,35.8,48134,30138
Schlumbergera truncata 15H02_sty,2,6173982,4263304,147,139,38.8,36.3,39.8,38.8,56416,32918
Schlumbergera truncata 15H03_pol,4,6983951,4858975,149,147,35.8,35.1,36.2,35.9,53675,32640
Schlumbergera truncata 15H03_sty_1,1,9183100,5450149,147,139,38.4,35.9,39.6,38.6,59668,34275
Schlumbergera truncata 15H03_sty_2,2,7147068,4815235,148,139,38.7,36.1,39.8,38.7,48708,28407
Schlumbergera truncata 15H04_pol,2,8392597,5497308,148,138,38.8,35.8,39.8,38.6,58662,35689
Schlumbergera truncata 15H04_sty,2,5240352,3446465,147,140,38.6,36.4,39.8,38.8,54120,31872
Schlumbergera truncata 15H05_pol,2,6347070,4365031,148,139,38.8,35.9,39.8,38.8,46638,28580
Schlumbergera truncata 15H05_sty_1,1,9618084,6479817,146,139,38.2,35.9,39.6,38.8,71031,41443
Schlumbergera truncata 15H05_sty_2,2,5043649,3051699,147,141,38.7,36.8,39.9,39,59857,36264
Schlumbergera truncata 15H06_pol,2,6850087,4360475,148,141,38.9,36.5,39.7,38.8,27729,18571
Schlumbergera truncata 15H06_sty,2,6632382,4203598,148,139,38.8,36.1,39.7,38.6,24392,16949
Schlumbergera truncata 15H07_pol,4,4513581,2988451,148,147,35.7,35,36.2,35.9,46908,29464
Schlumbergera truncata 15H07_sty,2,6411850,4200344,148,139,38.9,35.9,39.9,38.6,68107,39657
Schlumbergera truncata 15H08_pol,4,5106699,3863997,149,147,35.8,35.1,36.2,35.8,36739,23618
Schlumbergera truncata 15H08_sty,4,4521102,2741695,148,146,35.7,34.8,36.2,35.8,47754,29812
Schlumbergera truncata 15H09_pol,4,4645325,2575494,148,147,35.7,35,36.2,35.8,42245,27650
Schlumbergera truncata 15H09_root,3,6653640,3261445,149,148,35.7,34.4,36.4,36.2,68427,48463
Schlumbergera truncata 15H09_stem,3,8275870,5731805,149,149,35.8,35.2,36.4,36.2,79859,51788
Schlumbergera truncata 15H09_sty,2,6363556,4525356,147,138,38.8,35.8,39.8,38.7,62991,36275
Matucana madisoniorum HBG13_sty,2,4148932,2396890,145,140,38.1,36.4,39.5,38.9,41968,33810